Model,Best Val Acc (%),Final Val Acc (%),Final Train Acc (%),Train-Val Gap (%),Total Params,Trainable Params,MACs,FLOPs
ResNet50,87.92,87.35,91.56,4.21,23569502,61470,4130449438,8260898876
EfficientNet-B0,86.2,85.85,93.42,7.57,4045978,38430,390865878,781731756
ConvNeXt-Tiny,94.85,94.57,99.75,5.18,27843198,24606,4479021342,8958042684
