Model,Best Val Acc (%),Final Val Acc (%),Final Train Acc (%),Train-Val Gap (%),Total Params,Trainable Params,MACs,FLOPs
ResNet50,88.63,88.28,92.42,4.14,23569502,61470,4130449438,8260898876
EfficientNet-B0,86.13,85.2,93.99,8.79,4045978,38430,390865878,781731756
ConvNeXt-Tiny,94.78,94.5,99.75,5.25,27843198,24606,4479021342,8958042684
