Model,Best Val Acc (%),Final Val Acc (%),Final Train Acc (%),Train-Val Gap (%),Total Params,Trainable Params,MACs,FLOPs
ResNet50,88.28,87.99,91.96,3.96,23569502,61470,4130449438,8260898876
EfficientNet-B0,85.78,84.99,93.46,8.47,4045978,38430,390865878,781731756
ConvNeXt-Tiny,95.0,94.85,99.7,4.84,27843198,24606,4479021342,8958042684
